x,y,spatial_ref,power,heat_pump_power,capex,opex,utc,npv,hprod,cop,cophp,pres,flow_rate,welld,inj_temp,prd_temp,transmissivity_with_ntg,thickness,transmissivity,permeability,temperature,geometry,distance_to_city
146000,453000,0,6.998030186,0,14.17844868,-1.360592484,7.510461807,5.952149358,885505.5,7.648379803,0,52.53344727,232.3370667,1068.554688,44.07317352,72.96318054,11.1218746,114.0725021,11377.87658,99.74250031,74.07317352,POINT (146000 453000),4381.487162
150000,455000,0,6.989948273,0,14.00555706,-1.352911592,7.451477528,6.086136105,884482.875,7.7564044,0,51.49238205,231.4214478,1079.882813,42.37172699,71.30619049,11.59637175,112.7254028,12066.98381,107.0475998,72.37172699,POINT (150000 455000),8190.72302
148000,460000,0,6.986289501,0,14.51932049,-1.371224761,7.644399643,5.62247334,884019.875,7.429533958,0,54.75549316,233.1486053,1023.242188,46.49367523,75.30135345,10.29263469,125.7442017,10710.33759,85.17559814,76.49367523,POINT (148000 460000),7821.942154
145000,454000,0,6.969664097,0,14.35413265,-1.36230588,7.593520641,5.730245374,881916.1875,7.524038792,0,53.7733345,232.1089935,1045.898438,45.54202271,74.38146973,10.59650296,118.3460007,10829.33353,91.50569916,75.54202271,POINT (145000 454000),3185.798028
147000,455000,0,6.931084633,0,14.29401779,-1.353667021,7.595833778,5.693049144,877034.5,7.542768478,0,53.57920837,230.7383423,1045.898438,45.18803406,74.03096771,10.6139794,118.0506973,10944.50346,92.71019745,75.18803406,POINT (147000 455000),5205.244086
139000,461000,0,6.904986382,0,14.94477844,-1.371970654,7.853432178,5.063918213,873732.125,7.161393642,0,57.6938591,231.7275848,966.6015625,47.85662079,76.57169342,9.467572812,139.8825073,9719.302816,69.48190308,77.85662079,POINT (139000 461000),1898.775347
149000,456000,0,6.901164055,0,14.20486641,-1.345269203,7.581308365,5.702720466,873248.4375,7.586893559,0,53.13047791,229.5193024,1057.226563,44.56320953,73.41950989,10.75319048,116.8917007,11175.62942,95.60669708,74.56320953,POINT (149000 456000),7336.958607
147000,462000,0,6.889227867,0,14.65824795,-1.359621525,7.758651257,5.27544633,871738.0625,7.307266712,0,56.01924133,230.7053528,1000.585938,47.8190155,76.56453705,9.728583264,129.4499969,10119.18405,78.17060089,77.8190155,POINT (147000 462000),8261.624172
133000,466000,0,6.877930641,0,14.92107773,-1.366395593,7.862509251,5.022746193,870308.5,7.164488316,0,57.66595078,230.7759247,966.6015625,47.52458954,76.2410202,9.474328658,141.1316986,9811.856383,69.52269745,77.52458954,POINT (133000 466000),5330.553873
147000,453000,0,6.872138023,0,14.11373329,-1.336997867,7.565470695,5.715919411,869575.5625,7.632770538,0,52.66343307,228.3479004,1068.554688,44.09325409,72.96160126,10.8724182,112.6947021,11159.20958,99.02159882,74.09325409,POINT (147000 453000),5341.212935
144000,455000,0,6.789834976,0,14.52227497,-1.337720394,7.773423195,5.165068604,859161.1875,7.344902992,0,55.59187317,227.2748871,1011.914063,47.37680817,76.12213135,9.70691829,122.5450974,9915.13643,80.91010284,77.37680817,POINT (144000 455000),2241.033811
144000,464000,0,6.789580345,0,14.79333687,-1.346927762,7.875069141,4.929092254,859129,7.19479084,0,57.25158691,227.9544373,977.9296875,48.19592285,76.89345551,9.323345867,134.898407,9688.606299,71.82150269,78.19592285,POINT (144000 464000),7276.370123
133000,470000,0,6.786979198,0,14.9485054,-1.351742029,7.93486166,4.78855948,858799.875,7.111079693,0,58.16491699,228.4128571,966.6015625,49.33200836,77.99003601,9.046844645,139.4501038,9406.160158,67.45179749,79.33200836,POINT (133000 470000),9242.982276
147000,451000,0,6.781251907,0,13.8400507,-1.311937809,7.520604134,5.744271797,858075.1875,7.767146111,0,51.36447906,224.5625763,1079.882813,41.713974,70.63211823,11.33629022,106.7874985,11598.41432,108.6120987,71.713974,POINT (147000 451000),6161.375272
134000,470000,0,6.775698185,0,14.71722889,-1.342338085,7.857112408,4.960582086,857372.375,7.224128723,0,56.92375565,227.3472443,966.6015625,47.90026855,76.60657501,9.360464951,139.4324036,9723.137904,69.73370361,77.90026855,POINT (134000 470000),9138.731285
140000,466000,0,6.768073559,0,14.89716434,-1.346580625,7.928254128,4.790499198,856407.625,7.132876396,0,57.95334244,227.5241547,966.6015625,48.39315033,77.06903839,9.160033813,139.1296997,9514.941025,68.38899994,78.39315033,POINT (140000 466000),6829.985539
132000,469000,0,6.749915123,0,14.94063568,-1.345142722,7.95779562,4.70952105,854109.9375,7.09888649,0,58.30459976,227.2252655,955.2734375,49.20090485,77.85240936,8.968421537,139.6145935,9332.384288,66.84390259,79.20090485,POINT (132000 469000),8090.970382
151000,458000,0,6.74952507,3.540903091,11.43825054,-1.699807167,7.963188648,4.696812672,854060.5625,4.282693863,4.104380608,36.32563019,216.5849457,1023.242188,25.39796829,54.79050446,34.42201584,116.9171982,35860.00111,306.7127991,55.39796829,POINT (151000 458000),9701.860605
129000,462000,0,6.746600151,0,14.70236301,-1.33618927,7.869642735,4.91039719,853690.4375,7.230324268,0,56.95287704,225.9516602,966.6015625,45.8775177,74.61613464,9.574068482,133.8347015,9808.49115,73.2881012,75.8775177,POINT (129000 462000),488.304783
146000,452000,0,6.727526665,0,14.08320618,-1.311585426,7.648300171,5.405259137,851276.9375,7.583971024,0,53.11968994,223.9288483,1057.226563,44.48963165,73.32103729,10.4594751,111.0323029,10684.92689,96.23259735,74.48963165,POINT (146000 452000),4786.901353
132000,468000,0,6.726818562,0,14.93135643,-1.340686917,7.97001791,4.665316841,851187.375,7.09659338,0,58.34127808,226.4187622,955.2734375,48.87675476,77.52903748,8.970061541,139.8695984,9325.357709,66.67179871,78.87675476,POINT (132000 468000),7189.091063
148000,459000,0,6.708799839,0,14.50338554,-1.323081732,7.820854664,4.994709509,848907.3125,7.322744846,0,55.80168915,224.7879181,1011.914063,47.5947113,76.31717682,9.524188264,124.365303,9908.643649,79.67369843,77.5947113,POINT (148000 459000),7314.800813
129000,463000,0,6.702953339,0,14.71026039,-1.328818321,7.902402401,4.803608101,848167.5,7.209692478,0,57.1650238,224.6591797,966.6015625,46.08607483,74.8089447,9.451302786,134.1517944,9695.632824,72.27359772,76.08607483,POINT (129000 463000),1420.990138
131000,471000,0,6.702330112,0,14.93206406,-1.336577535,7.987784863,4.607649616,848088.6875,7.084540367,0,58.43818283,225.8143158,955.2734375,49.5579834,78.1914444,8.840026669,138.7646942,9204.526035,66.33190155,79.5579834,POINT (131000 471000),9666.369076
143000,456000,0,6.683599949,0,14.65271378,-1.323925257,7.895141602,4.806318466,845718.625,7.226848602,0,56.83069611,224.4919128,989.2578125,48.5525589,77.23406219,9.185879457,126.5795975,9381.004294,74.1115036,78.5525589,POINT (143000 456000),1487.009109
147000,460000,0,6.670342445,0,14.61357307,-1.320148349,7.889022827,4.810728823,844041.0625,7.245669842,0,56.61789703,223.9740295,1000.585938,48.38264465,77.06778717,9.237862831,127.5322037,9608.761282,75.34380341,78.38264465,POINT (147000 460000),6973.475021
